r,g,b,r_new,g_new,b_new
48,64,48,58,58,49
48,64,64,57,59,65
48,64,80,6,66,82
48,64,96,6,66,96
48,64,112,4,69,111
48,64,128,6,92,129
48,64,144,6,92,145
48,64,160,0,99,160
48,64,176,0,99,175
48,64,192,4,114,185
48,64,208,0,126,197
48,64,224,0,127,210
48,64,240,0,136,219
48,80,0,109,67,23
48,80,16,108,68,32
48,80,32,106,68,39
48,80,48,106,68,52
48,80,64,103,76,67
48,80,80,94,71,82
48,80,96,94,71,98
48,80,112,91,92,114
48,80,128,63,83,129
48,80,144,63,83,145
48,80,160,63,108,159
48,80,176,63,108,172
48,80,192,0,108,190
48,80,208,0,129,203
48,80,224,0,129,211
48,80,240,0,133,224
48,96,0,109,81,23
48,96,16,108,81,32
48,96,32,105,82,39
48,96,48,106,82,52
48,96,64,103,84,67
48,96,80,94,86,82
48,96,96,94,86,98
48,96,112,91,91,114
48,96,128,63,95,129
48,96,144,63,95,145
48,96,160,63,102,159
48,96,176,63,102,172
48,96,192,0,117,190
48,96,208,0,122,203
48,96,224,0,123,211
48,96,240,0,141,224
48,112,0,114,94,23
48,112,16,116,94,35
48,112,32,111,95,48
48,112,48,112,95,54
48,112,64,112,95,70
48,112,80,101,98,85
48,112,96,101,98,99
48,112,112,100,99,114
48,112,128,72,105,131
48,112,144,72,105,146
48,112,160,70,107,161
48,112,176,70,108,178
48,112,192,8,122,191
48,112,208,3,127,205
48,112,224,3,127,222
48,112,240,7,144,227
48,128,0,162,109,0
48,128,16,163,110,18
48,128,32,162,106,47
48,128,48,161,106,58
48,128,64,160,109,73
48,128,80,154,108,85
48,128,96,154,108,101
48,128,112,151,114,116
48,128,128,140,113,132
48,128,144,140,114,148
48,128,160,135,128,163
48,128,176,135,128,177
48,128,192,8,127,191
48,128,208,110,143,208
48,128,224,110,143,218
48,128,240,54,137,239
48,144,0,161,125,0
48,144,16,160,125,18
48,144,32,160,120,47
48,144,48,161,120,58
48,144,64,160,121,72
48,144,80,154,122,86
48,144,96,154,122,100
48,144,112,151,124,117
48,144,128,140,127,132
48,144,144,140,127,148
48,144,160,135,132,163
48,144,176,135,132,177
48,144,192,114,136,194
48,144,208,110,143,208
48,144,224,110,143,218
48,144,240,54,148,239
48,160,0,168,139,0
48,160,16,170,139,21
48,160,32,166,133,56
48,160,48,167,133,59
48,160,64,167,134,71
48,160,80,161,135,92
48,160,96,161,135,103
48,160,112,160,136,117
48,160,128,147,140,135
48,160,144,147,140,150
48,160,160,146,141,164
48,160,176,146,141,180
48,160,192,122,147,195
48,160,208,120,149,210
48,160,224,120,148,225
48,160,240,65,157,241
48,176,0,168,149,0
48,176,16,167,149,21
48,176,32,169,146,56
48,176,48,167,146,59
48,176,64,167,147,73
48,176,80,161,147,92
48,176,96,161,147,102
48,176,112,160,150,116
48,176,128,147,151,134
48,176,144,147,151,149
48,176,160,146,155,162
48,176,176,146,155,180
48,176,192,122,156,195
48,176,208,120,165,210
48,176,224,120,162,225
48,176,240,65,165,241
48,192,0,214,158,48
48,192,16,215,158,52
48,192,32,214,159,56
48,192,48,215,159,65
48,192,64,214,160,79
48,192,80,211,160,89
48,192,96,211,160,106
48,192,112,210,162,119
48,192,128,210,162,134
48,192,144,201,163,152
48,192,160,199,166,166
48,192,176,199,166,182
48,192,192,186,169,197
48,192,208,181,175,213
48,192,224,181,173,227
48,192,240,164,176,241
48,208,0,220,171,48
48,208,16,220,171,70
48,208,32,219,172,85
48,208,48,220,172,70
48,208,64,220,172,90
48,208,80,216,174,114
48,208,96,216,174,112
48,208,112,216,174,123
48,208,128,216,174,138
48,208,144,207,177,156
48,208,160,207,177,167
48,208,176,207,177,184
48,208,192,193,182,198
48,208,208,191,183,213
48,208,224,191,184,227
48,208,240,172,191,242
